Group,Category,Price,City
Eating Out,🍱Lunch Menu,$8.4,"Cape-Town, South-Africa"
Eating Out,"🥂Dinner in a Restaurant,for 2",$32.1,"Cape-Town, South-Africa"
Eating Out,"🥪Fast food meal,equiv. McDonald's",$4.87,"Cape-Town, South-Africa"
Eating Out,"🍻Beer in a Pub,0.5 L or 16 fl oz",$2.58,"Cape-Town, South-Africa"
Eating Out,☕Cappuccino,$2.03,"Cape-Town, South-Africa"
Eating Out,"🥤Pepsi / Coke,0.5 L or 16.9 fl oz",$1.03,"Cape-Town, South-Africa"
Rent & Utilities,"🏙️1 bedroom apartment in city Center,40 m2 or 430 ft2",$677,"Cape-Town, South-Africa"
Rent & Utilities,"🏡Cheap 1 bedroom apartment,40 m2 or 430 ft2",$435,"Cape-Town, South-Africa"
Rent & Utilities,"🏙️3 bedroom apartment in city Center,80 m2 or 860 ft2",$1304,"Cape-Town, South-Africa"
Rent & Utilities,"🏡Cheap 3 bedroom apartment,80 m2 or 860 ft2",$863,"Cape-Town, South-Africa"
Rent & Utilities,"🔌Utility Bill one person,electricity, heating, water, etc.",$59.9,"Cape-Town, South-Africa"
Rent & Utilities,"🔌Utility Bill for a Family,electricity, heating, water, etc.",$93.1,"Cape-Town, South-Africa"
Rent & Utilities,"🌐Internet plan,50 Mbps+ 1 month unlimited",$38.9,"Cape-Town, South-Africa"
Rent & Utilities,🏦Mortgage Interest Rate for 20 Years,N/A,"Cape-Town, South-Africa"
Rent & Utilities,"🏙️Apartment price to Buy in city Center,1 m2 or 10 ft2",$1804,"Cape-Town, South-Africa"
Rent & Utilities,"🏡House price to Buy in Suburbs,1 m2 or 10 ft2",$1180,"Cape-Town, South-Africa"
Transportation,🚌Local transport ticket,$1.09,"Cape-Town, South-Africa"
Transportation,🎟️Monthly ticket local transport,$39,"Cape-Town, South-Africa"
Transportation,"🚕Taxi Ride,8 km or 5 mi",$8.47,"Cape-Town, South-Africa"
Transportation,"⛽Gas / Petrol,1 L or 0.26 gal",$1.23,"Cape-Town, South-Africa"
Groceries,"🥛Milk,1 L or 1 qt",$1.08,"Cape-Town, South-Africa"
Groceries,"🍞Bread,0.5 kg or 1.1 lb",$1.03,"Cape-Town, South-Africa"
Groceries,"🍚Rice,1 kg or 2.2 lb",$1.48,"Cape-Town, South-Africa"
Groceries,"🥚Eggs,x12",$2.58,"Cape-Town, South-Africa"
Groceries,"🧀Cheese,1 kg or 2.2 lb",$8.33,"Cape-Town, South-Africa"
Groceries,"🐔Chicken Breast,1 kg or 2.2 lb",$5.42,"Cape-Town, South-Africa"
Groceries,"🥩Round Steak,1 kg or 2.2 lb",$7.24,"Cape-Town, South-Africa"
Groceries,"🍏Apples,1 kg or 2.2 lb",$1.53,"Cape-Town, South-Africa"
Groceries,"🍌Banana,1 kg or 2.2 lb",$1.45,"Cape-Town, South-Africa"
Groceries,"🍊Oranges,1 kg or 2.2 lb",$1.47,"Cape-Town, South-Africa"
Groceries,"🍅Tomato,1 kg or 2.2 lb",$1.57,"Cape-Town, South-Africa"
Groceries,"🥔Potato,1 kg or 2.2 lb",$1.33,"Cape-Town, South-Africa"
Groceries,"🧅Onion,1 kg or 2.2 lb",$1.13,"Cape-Town, South-Africa"
Groceries,"🌊Water,1 L or 1 qt",$0.62,"Cape-Town, South-Africa"
Groceries,"🍹Coca-Cola / Pepsi,2 L or 67.6 fl oz",$1.43,"Cape-Town, South-Africa"
Groceries,"🍾Wine (mid-priced),750 mL bottle",$5.48,"Cape-Town, South-Africa"
Groceries,"🍺Beer,0.5 L or 16 fl oz",$1.39,"Cape-Town, South-Africa"
Groceries,🚬Cigarette pack,$3.02,"Cape-Town, South-Africa"
Groceries,"💊Cold medicince,1 week",$4.02,"Cape-Town, South-Africa"
Groceries,🧴Hair Shampoo,$3.17,"Cape-Town, South-Africa"
Groceries,"🧻Toilet paper,4 rolls",$2.11,"Cape-Town, South-Africa"
Groceries,"👄Toothpaste,1 tube",$1.49,"Cape-Town, South-Africa"
Other,"🏋️Gym Membership,1 month",$34.4,"Cape-Town, South-Africa"
Other,"🎫Cinema Ticket,1 person",$6.22,"Cape-Town, South-Africa"
Other,👩‍⚕️Doctor's visit,$35.7,"Cape-Town, South-Africa"
Other,"💇Haircut,simple",$8.05,"Cape-Town, South-Africa"
Other,👖Brand Jeans,$51,"Cape-Town, South-Africa"
Other,👟Brand Sneakers,$104,"Cape-Town, South-Africa"
Other,"👶Daycare or Preschool,1 month",$204,"Cape-Town, South-Africa"
Other,"🏫International Primary School,1 year",$4806,"Cape-Town, South-Africa"
