Group,Category,Price,City
Eating Out,🍱Lunch Menu,$19.1,"Frankfurt, Germany"
Eating Out,"🥂Dinner in a Restaurant,for 2",$72.5,"Frankfurt, Germany"
Eating Out,"🥪Fast food meal,equiv. McDonald's",$11.3,"Frankfurt, Germany"
Eating Out,"🍻Beer in a Pub,0.5 L or 16 fl oz",$5.06,"Frankfurt, Germany"
Eating Out,☕Cappuccino,$3.92,"Frankfurt, Germany"
Eating Out,"🥤Pepsi / Coke,0.5 L or 16.9 fl oz",$3.17,"Frankfurt, Germany"
Rent & Utilities,"🏙️1 bedroom apartment in city Center,40 m2 or 430 ft2",$1133,"Frankfurt, Germany"
Rent & Utilities,"🏡Cheap 1 bedroom apartment,40 m2 or 430 ft2",$849,"Frankfurt, Germany"
Rent & Utilities,"🏙️3 bedroom apartment in city Center,80 m2 or 860 ft2",$2172,"Frankfurt, Germany"
Rent & Utilities,"🏡Cheap 3 bedroom apartment,80 m2 or 860 ft2",$1473,"Frankfurt, Germany"
Rent & Utilities,"🔌Utility Bill one person,electricity, heating, water, etc.",$186,"Frankfurt, Germany"
Rent & Utilities,"🔌Utility Bill for a Family,electricity, heating, water, etc.",$282,"Frankfurt, Germany"
Rent & Utilities,"🌐Internet plan,50 Mbps+ 1 month unlimited",$33.7,"Frankfurt, Germany"
Rent & Utilities,🏦Mortgage Interest Rate for 20 Years,N/A,"Frankfurt, Germany"
Rent & Utilities,"🏙️Apartment price to Buy in city Center,1 m2 or 10 ft2",$8106,"Frankfurt, Germany"
Rent & Utilities,"🏡House price to Buy in Suburbs,1 m2 or 10 ft2",$4832,"Frankfurt, Germany"
Transportation,🚌Local transport ticket,$3.86,"Frankfurt, Germany"
Transportation,🎟️Monthly ticket local transport,$54.5,"Frankfurt, Germany"
Transportation,"🚕Taxi Ride,8 km or 5 mi",$26.3,"Frankfurt, Germany"
Transportation,"⛽Gas / Petrol,1 L or 0.26 gal",$1.79,"Frankfurt, Germany"
Groceries,"🥛Milk,1 L or 1 qt",$1.3,"Frankfurt, Germany"
Groceries,"🍞Bread,0.5 kg or 1.1 lb",$1.96,"Frankfurt, Germany"
Groceries,"🍚Rice,1 kg or 2.2 lb",$2.52,"Frankfurt, Germany"
Groceries,"🥚Eggs,x12",$4.02,"Frankfurt, Germany"
Groceries,"🧀Cheese,1 kg or 2.2 lb",$13.1,"Frankfurt, Germany"
Groceries,"🐔Chicken Breast,1 kg or 2.2 lb",$11.7,"Frankfurt, Germany"
Groceries,"🥩Round Steak,1 kg or 2.2 lb",$17.5,"Frankfurt, Germany"
Groceries,"🍏Apples,1 kg or 2.2 lb",$2.91,"Frankfurt, Germany"
Groceries,"🍌Banana,1 kg or 2.2 lb",$1.73,"Frankfurt, Germany"
Groceries,"🍊Oranges,1 kg or 2.2 lb",$2.12,"Frankfurt, Germany"
Groceries,"🍅Tomato,1 kg or 2.2 lb",$3.84,"Frankfurt, Germany"
Groceries,"🥔Potato,1 kg or 2.2 lb",$1.77,"Frankfurt, Germany"
Groceries,"🧅Onion,1 kg or 2.2 lb",$1.66,"Frankfurt, Germany"
Groceries,"🌊Water,1 L or 1 qt",$0.59,"Frankfurt, Germany"
Groceries,"🍹Coca-Cola / Pepsi,2 L or 67.6 fl oz",$1.82,"Frankfurt, Germany"
Groceries,"🍾Wine (mid-priced),750 mL bottle",$6.11,"Frankfurt, Germany"
Groceries,"🍺Beer,0.5 L or 16 fl oz",$0.97,"Frankfurt, Germany"
Groceries,🚬Cigarette pack,$8.41,"Frankfurt, Germany"
Groceries,"💊Cold medicince,1 week",$10.4,"Frankfurt, Germany"
Groceries,🧴Hair Shampoo,$3.52,"Frankfurt, Germany"
Groceries,"🧻Toilet paper,4 rolls",$1.67,"Frankfurt, Germany"
Groceries,"👄Toothpaste,1 tube",$2.15,"Frankfurt, Germany"
Other,"🏋️Gym Membership,1 month",$53.7,"Frankfurt, Germany"
Other,"🎫Cinema Ticket,1 person",$14.8,"Frankfurt, Germany"
Other,👩‍⚕️Doctor's visit,$95.1,"Frankfurt, Germany"
Other,"💇Haircut,simple",$19.1,"Frankfurt, Germany"
Other,👖Brand Jeans,$86,"Frankfurt, Germany"
Other,👟Brand Sneakers,$91.7,"Frankfurt, Germany"
Other,"👶Daycare or Preschool,1 month",$555,"Frankfurt, Germany"
Other,"🏫International Primary School,1 year",$14496,"Frankfurt, Germany"
