Group,Category,Price,City
Eating Out,🍱Lunch Menu,$17.5,"Hamburg, Germany"
Eating Out,"🥂Dinner in a Restaurant,for 2",$83.9,"Hamburg, Germany"
Eating Out,"🥪Fast food meal,equiv. McDonald's",$10.6,"Hamburg, Germany"
Eating Out,"🍻Beer in a Pub,0.5 L or 16 fl oz",$5.27,"Hamburg, Germany"
Eating Out,☕Cappuccino,$4.1,"Hamburg, Germany"
Eating Out,"🥤Pepsi / Coke,0.5 L or 16.9 fl oz",$3.08,"Hamburg, Germany"
Rent & Utilities,"🏙️1 bedroom apartment in city Center,40 m2 or 430 ft2",$1071,"Hamburg, Germany"
Rent & Utilities,"🏡Cheap 1 bedroom apartment,40 m2 or 430 ft2",$755,"Hamburg, Germany"
Rent & Utilities,"🏙️3 bedroom apartment in city Center,80 m2 or 860 ft2",$2236,"Hamburg, Germany"
Rent & Utilities,"🏡Cheap 3 bedroom apartment,80 m2 or 860 ft2",$1550,"Hamburg, Germany"
Rent & Utilities,"🔌Utility Bill one person,electricity, heating, water, etc.",$209,"Hamburg, Germany"
Rent & Utilities,"🔌Utility Bill for a Family,electricity, heating, water, etc.",$318,"Hamburg, Germany"
Rent & Utilities,"🌐Internet plan,50 Mbps+ 1 month unlimited",$39,"Hamburg, Germany"
Rent & Utilities,🏦Mortgage Interest Rate for 20 Years,N/A,"Hamburg, Germany"
Rent & Utilities,"🏙️Apartment price to Buy in city Center,1 m2 or 10 ft2",$8190,"Hamburg, Germany"
Rent & Utilities,"🏡House price to Buy in Suburbs,1 m2 or 10 ft2",$5824,"Hamburg, Germany"
Transportation,🚌Local transport ticket,$3.69,"Hamburg, Germany"
Transportation,🎟️Monthly ticket local transport,$52.1,"Hamburg, Germany"
Transportation,"🚕Taxi Ride,8 km or 5 mi",$29,"Hamburg, Germany"
Transportation,"⛽Gas / Petrol,1 L or 0.26 gal",$1.86,"Hamburg, Germany"
Groceries,"🥛Milk,1 L or 1 qt",$1.17,"Hamburg, Germany"
Groceries,"🍞Bread,0.5 kg or 1.1 lb",$2.04,"Hamburg, Germany"
Groceries,"🍚Rice,1 kg or 2.2 lb",$3.14,"Hamburg, Germany"
Groceries,"🥚Eggs,x12",$3.38,"Hamburg, Germany"
Groceries,"🧀Cheese,1 kg or 2.2 lb",$13,"Hamburg, Germany"
Groceries,"🐔Chicken Breast,1 kg or 2.2 lb",$13.9,"Hamburg, Germany"
Groceries,"🥩Round Steak,1 kg or 2.2 lb",$18.8,"Hamburg, Germany"
Groceries,"🍏Apples,1 kg or 2.2 lb",$2.92,"Hamburg, Germany"
Groceries,"🍌Banana,1 kg or 2.2 lb",$1.66,"Hamburg, Germany"
Groceries,"🍊Oranges,1 kg or 2.2 lb",$2.19,"Hamburg, Germany"
Groceries,"🍅Tomato,1 kg or 2.2 lb",$4.38,"Hamburg, Germany"
Groceries,"🥔Potato,1 kg or 2.2 lb",$1.64,"Hamburg, Germany"
Groceries,"🧅Onion,1 kg or 2.2 lb",$1.69,"Hamburg, Germany"
Groceries,"🌊Water,1 L or 1 qt",$0.6,"Hamburg, Germany"
Groceries,"🍹Coca-Cola / Pepsi,2 L or 67.6 fl oz",$2.12,"Hamburg, Germany"
Groceries,"🍾Wine (mid-priced),750 mL bottle",$6.28,"Hamburg, Germany"
Groceries,"🍺Beer,0.5 L or 16 fl oz",$1.01,"Hamburg, Germany"
Groceries,🚬Cigarette pack,$8.67,"Hamburg, Germany"
Groceries,"💊Cold medicince,1 week",$11.6,"Hamburg, Germany"
Groceries,🧴Hair Shampoo,$3.11,"Hamburg, Germany"
Groceries,"🧻Toilet paper,4 rolls",$1.57,"Hamburg, Germany"
Groceries,"👄Toothpaste,1 tube",$1.77,"Hamburg, Germany"
Other,"🏋️Gym Membership,1 month",$45.5,"Hamburg, Germany"
Other,"🎫Cinema Ticket,1 person",$14.6,"Hamburg, Germany"
Other,👩‍⚕️Doctor's visit,$58.4,"Hamburg, Germany"
Other,"💇Haircut,simple",$23.1,"Hamburg, Germany"
Other,👖Brand Jeans,$85.6,"Hamburg, Germany"
Other,👟Brand Sneakers,$108,"Hamburg, Germany"
Other,"👶Daycare or Preschool,1 month",$233,"Hamburg, Germany"
Other,"🏫International Primary School,1 year",$24460,"Hamburg, Germany"
