Group,Category,Price,City
Eating Out,🍱Lunch Menu,$9.65,"Johannesburg, South-Africa"
Eating Out,"🥂Dinner in a Restaurant,for 2",$37.9,"Johannesburg, South-Africa"
Eating Out,"🥪Fast food meal,equiv. McDonald's",$4.9,"Johannesburg, South-Africa"
Eating Out,"🍻Beer in a Pub,0.5 L or 16 fl oz",$2.37,"Johannesburg, South-Africa"
Eating Out,☕Cappuccino,$2.01,"Johannesburg, South-Africa"
Eating Out,"🥤Pepsi / Coke,0.5 L or 16.9 fl oz",$0.99,"Johannesburg, South-Africa"
Rent & Utilities,"🏙️1 bedroom apartment in city Center,40 m2 or 430 ft2",$377,"Johannesburg, South-Africa"
Rent & Utilities,"🏡Cheap 1 bedroom apartment,40 m2 or 430 ft2",$318,"Johannesburg, South-Africa"
Rent & Utilities,"🏙️3 bedroom apartment in city Center,80 m2 or 860 ft2",$790,"Johannesburg, South-Africa"
Rent & Utilities,"🏡Cheap 3 bedroom apartment,80 m2 or 860 ft2",$627,"Johannesburg, South-Africa"
Rent & Utilities,"🔌Utility Bill one person,electricity, heating, water, etc.",$71.9,"Johannesburg, South-Africa"
Rent & Utilities,"🔌Utility Bill for a Family,electricity, heating, water, etc.",$110,"Johannesburg, South-Africa"
Rent & Utilities,"🌐Internet plan,50 Mbps+ 1 month unlimited",$39.5,"Johannesburg, South-Africa"
Rent & Utilities,🏦Mortgage Interest Rate for 20 Years,N/A,"Johannesburg, South-Africa"
Rent & Utilities,"🏙️Apartment price to Buy in city Center,1 m2 or 10 ft2",$1031,"Johannesburg, South-Africa"
Rent & Utilities,"🏡House price to Buy in Suburbs,1 m2 or 10 ft2",$684,"Johannesburg, South-Africa"
Transportation,🚌Local transport ticket,$1.62,"Johannesburg, South-Africa"
Transportation,🎟️Monthly ticket local transport,$72,"Johannesburg, South-Africa"
Transportation,"🚕Taxi Ride,8 km or 5 mi",$9.35,"Johannesburg, South-Africa"
Transportation,"⛽Gas / Petrol,1 L or 0.26 gal",$1.28,"Johannesburg, South-Africa"
Groceries,"🥛Milk,1 L or 1 qt",$1.18,"Johannesburg, South-Africa"
Groceries,"🍞Bread,0.5 kg or 1.1 lb",$0.95,"Johannesburg, South-Africa"
Groceries,"🍚Rice,1 kg or 2.2 lb",$1.36,"Johannesburg, South-Africa"
Groceries,"🥚Eggs,x12",$2.58,"Johannesburg, South-Africa"
Groceries,"🧀Cheese,1 kg or 2.2 lb",$10,"Johannesburg, South-Africa"
Groceries,"🐔Chicken Breast,1 kg or 2.2 lb",$5.04,"Johannesburg, South-Africa"
Groceries,"🥩Round Steak,1 kg or 2.2 lb",$6.12,"Johannesburg, South-Africa"
Groceries,"🍏Apples,1 kg or 2.2 lb",$1.6,"Johannesburg, South-Africa"
Groceries,"🍌Banana,1 kg or 2.2 lb",$1.49,"Johannesburg, South-Africa"
Groceries,"🍊Oranges,1 kg or 2.2 lb",$1.41,"Johannesburg, South-Africa"
Groceries,"🍅Tomato,1 kg or 2.2 lb",$1.59,"Johannesburg, South-Africa"
Groceries,"🥔Potato,1 kg or 2.2 lb",$1.35,"Johannesburg, South-Africa"
Groceries,"🧅Onion,1 kg or 2.2 lb",$1.44,"Johannesburg, South-Africa"
Groceries,"🌊Water,1 L or 1 qt",$0.58,"Johannesburg, South-Africa"
Groceries,"🍹Coca-Cola / Pepsi,2 L or 67.6 fl oz",$1.44,"Johannesburg, South-Africa"
Groceries,"🍾Wine (mid-priced),750 mL bottle",$5.96,"Johannesburg, South-Africa"
Groceries,"🍺Beer,0.5 L or 16 fl oz",$1.25,"Johannesburg, South-Africa"
Groceries,🚬Cigarette pack,$2.97,"Johannesburg, South-Africa"
Groceries,"💊Cold medicince,1 week",$5.59,"Johannesburg, South-Africa"
Groceries,🧴Hair Shampoo,$3.94,"Johannesburg, South-Africa"
Groceries,"🧻Toilet paper,4 rolls",$1.88,"Johannesburg, South-Africa"
Groceries,"👄Toothpaste,1 tube",$1.42,"Johannesburg, South-Africa"
Other,"🏋️Gym Membership,1 month",$33.2,"Johannesburg, South-Africa"
Other,"🎫Cinema Ticket,1 person",$7.2,"Johannesburg, South-Africa"
Other,👩‍⚕️Doctor's visit,$27.8,"Johannesburg, South-Africa"
Other,"💇Haircut,simple",$5.55,"Johannesburg, South-Africa"
Other,👖Brand Jeans,$48.5,"Johannesburg, South-Africa"
Other,👟Brand Sneakers,$88.8,"Johannesburg, South-Africa"
Other,"👶Daycare or Preschool,1 month",$214,"Johannesburg, South-Africa"
Other,"🏫International Primary School,1 year",$5271,"Johannesburg, South-Africa"
