Group,Category,Price,City
Eating Out,🍱Lunch Menu,$16.2,"Munich, Germany"
Eating Out,"🥂Dinner in a Restaurant,for 2",$69.1,"Munich, Germany"
Eating Out,"🥪Fast food meal,equiv. McDonald's",$12.6,"Munich, Germany"
Eating Out,"🍻Beer in a Pub,0.5 L or 16 fl oz",$4.92,"Munich, Germany"
Eating Out,☕Cappuccino,$4.32,"Munich, Germany"
Eating Out,"🥤Pepsi / Coke,0.5 L or 16.9 fl oz",$3.69,"Munich, Germany"
Rent & Utilities,"🏙️1 bedroom apartment in city Center,40 m2 or 430 ft2",$1323,"Munich, Germany"
Rent & Utilities,"🏡Cheap 1 bedroom apartment,40 m2 or 430 ft2",$1006,"Munich, Germany"
Rent & Utilities,"🏙️3 bedroom apartment in city Center,80 m2 or 860 ft2",$2618,"Munich, Germany"
Rent & Utilities,"🏡Cheap 3 bedroom apartment,80 m2 or 860 ft2",$2005,"Munich, Germany"
Rent & Utilities,"🔌Utility Bill one person,electricity, heating, water, etc.",$205,"Munich, Germany"
Rent & Utilities,"🔌Utility Bill for a Family,electricity, heating, water, etc.",$313,"Munich, Germany"
Rent & Utilities,"🌐Internet plan,50 Mbps+ 1 month unlimited",$38.8,"Munich, Germany"
Rent & Utilities,🏦Mortgage Interest Rate for 20 Years,N/A,"Munich, Germany"
Rent & Utilities,"🏙️Apartment price to Buy in city Center,1 m2 or 10 ft2",$12224,"Munich, Germany"
Rent & Utilities,"🏡House price to Buy in Suburbs,1 m2 or 10 ft2",$8488,"Munich, Germany"
Transportation,🚌Local transport ticket,$4.1,"Munich, Germany"
Transportation,🎟️Monthly ticket local transport,$59.5,"Munich, Germany"
Transportation,"🚕Taxi Ride,8 km or 5 mi",$24.8,"Munich, Germany"
Transportation,"⛽Gas / Petrol,1 L or 0.26 gal",$1.85,"Munich, Germany"
Groceries,"🥛Milk,1 L or 1 qt",$1.36,"Munich, Germany"
Groceries,"🍞Bread,0.5 kg or 1.1 lb",$2.12,"Munich, Germany"
Groceries,"🍚Rice,1 kg or 2.2 lb",$2.7,"Munich, Germany"
Groceries,"🥚Eggs,x12",$3.7,"Munich, Germany"
Groceries,"🧀Cheese,1 kg or 2.2 lb",$14.8,"Munich, Germany"
Groceries,"🐔Chicken Breast,1 kg or 2.2 lb",$11.7,"Munich, Germany"
Groceries,"🥩Round Steak,1 kg or 2.2 lb",$18.9,"Munich, Germany"
Groceries,"🍏Apples,1 kg or 2.2 lb",$2.88,"Munich, Germany"
Groceries,"🍌Banana,1 kg or 2.2 lb",$1.86,"Munich, Germany"
Groceries,"🍊Oranges,1 kg or 2.2 lb",$2.53,"Munich, Germany"
Groceries,"🍅Tomato,1 kg or 2.2 lb",$3.62,"Munich, Germany"
Groceries,"🥔Potato,1 kg or 2.2 lb",$1.85,"Munich, Germany"
Groceries,"🧅Onion,1 kg or 2.2 lb",$1.56,"Munich, Germany"
Groceries,"🌊Water,1 L or 1 qt",$0.57,"Munich, Germany"
Groceries,"🍹Coca-Cola / Pepsi,2 L or 67.6 fl oz",$1.83,"Munich, Germany"
Groceries,"🍾Wine (mid-priced),750 mL bottle",$6.83,"Munich, Germany"
Groceries,"🍺Beer,0.5 L or 16 fl oz",$1.1,"Munich, Germany"
Groceries,🚬Cigarette pack,$9.08,"Munich, Germany"
Groceries,"💊Cold medicince,1 week",$8.17,"Munich, Germany"
Groceries,🧴Hair Shampoo,$3.34,"Munich, Germany"
Groceries,"🧻Toilet paper,4 rolls",$1.92,"Munich, Germany"
Groceries,"👄Toothpaste,1 tube",$1.42,"Munich, Germany"
Other,"🏋️Gym Membership,1 month",$52.2,"Munich, Germany"
Other,"🎫Cinema Ticket,1 person",$13.5,"Munich, Germany"
Other,👩‍⚕️Doctor's visit,$73.1,"Munich, Germany"
Other,"💇Haircut,simple",$22.5,"Munich, Germany"
Other,👖Brand Jeans,$92.9,"Munich, Germany"
Other,👟Brand Sneakers,$97.9,"Munich, Germany"
Other,"👶Daycare or Preschool,1 month",$953,"Munich, Germany"
Other,"🏫International Primary School,1 year",$14702,"Munich, Germany"
